Arquivo,Numero,Tema
preposicao_33.pdf,005.00085.2024,Programa de Monitorização Contínua da Glicose para crianças na rede pública de Curitiba.
preposicao_34.pdf,005.00085.2023,Programa Municipal de Proteção de Instituições Educacionais contra Atentados Violentos.
preposicao_35.pdf,005.00082.2022,Alteração na Lei do Estacionamento Regulamentado (EstaR) em Curitiba.
preposicao_36.pdf,005.00060.2023,Estatuto das Garantias dos Cidadãos de Curitiba
preposicao_37.pdf,005.00054.2024,Campanha de combate à esporotricose animal
preposicao_38.pdf,005.00054.2023,Política Municipal de Cuidados Paliativos
preposicao_39.pdf,005.00049.2024,Aporte de recursos financeiros para aquisição de unidades habitacionais.
preposicao_40.pdf,005.00045.2024,Autorização para alienar área em favor de Antônio Carlos Pontes Coelho.
preposicao_41.pdf,005.00044.2024,Autorização para alienação de área a Joaquim Lourenço Cancela.
preposicao_42.pdf,005.00042.2024,Uso do nome social e reconhecimento da identidade de gênero de pessoas travestis e transexuais na administração pública municipal.
preposicao_43.pdf,005.00040.2023,Implantação de medidas de informação sobre a Política Nacional de Saúde Integral da População Negra em Curitiba.
preposicao_44.pdf,005.00030.2023,Alteração da Lei nº 7556/90 sobre passe escolar no transporte público de Curitiba.
preposicao_45.pdf,005.00023.2024,"Regularização, edificação e funcionamento de templos religiosos em Curitiba."
preposicao_46.pdf,005.00019.2024,Curitiba como Capital do Turismo Ferroviário.
preposicao_47.pdf,005.00019.2022,Regulamentação do serviço de mototáxi em Curitiba.
preposicao_48.pdf,005.00017.2024,Publicidade temporária em espaços públicos para eventos esportivos e de atividade física em Curitiba.
preposicao_49.pdf,005.00016.2024,Prestação de serviços ou comércio temporário em eventos esportivos e de atividade física em Curitiba.
preposicao_50.pdf,005.00014.2024,Política Municipal de Bem-estar e Felicidade
preposicao_51.pdf,005.00010.2024,Alienação de área de terreno a Valmir Boaventura Filho.
preposicao_52.pdf,005.00009.2024,Valorização do profissional do magistério.
preposicao_53.pdf,005.00008.2024,Concessão de potencial construtivo adicional no Município de Curitiba.
preposicao_54.pdf,005.00006.2024,"Prêmios, incentivos construtivos e condições especiais de ocupação do Município de Curitiba."
preposicao_55.pdf,005.00002.2024,Alteração da representação da pessoa idosa em símbolos de atendimento prioritário.
preposicao_56.pdf,002.00010.2023,Isenção/Remissão de IPTU para imóveis atingidos por enchentes e alagamentos em Curitiba.
preposicao_57.pdf,002.00003.2023,Redução de IPTU para pessoa idosa e com deficiência.
preposicao_58.pdf,002.00002.2024,Alteração e adição de dispositivos na Lei Complementar nº 89/2014 (tratamento diferenciado a microempresas e empresas de pequeno porte).
preposicao_59.pdf,033.00008.2024,Programa de Monitorização Contínua da Glicose em Crianças da Rede Pública de Curitiba.
